total number of analysis:364378 
total number of analysis until best:315070 
top-scored iteration: 4320 

Microsoft Windows [Version 10.0.22000.613]
(c) Microsoft Corporation. All rights reserved.

C:\Users\dream\Documents\Research\RL_Construction\20220428>python Train.py
C:\Users\dream\anaconda3\lib\site-packages\torch\nn\init.py:388: UserWarning: Initializing zero-element tensors is a no-op
  warnings.warn("Initializing zero-element tensors is a no-op")
episode 332 : step=110 reward=-62.0 aveQ=-28.63  loss=1.80
episode 333 : step=55  reward=-19.0 aveQ=-12.21  loss=2.05
episode 334 : step=42  reward=-18.0 aveQ=-15.06  loss=1.80
episode 335 : step=72  reward=-25.0 aveQ=-15.58  loss=2.17
episode 336 : step=72  reward=-25.0 aveQ=-14.14  loss=1.92
episode 337 : step=89  reward=-30.0 aveQ=-20.55  loss=2.00
episode 338 : step=72  reward=-28.0 aveQ=-17.55  loss=2.00
episode 339 : step=55  reward=-25.0 aveQ=-14.23  loss=1.88
episode 340 : step=68  reward=-52.0 aveQ=-21.95  loss=2.81
episode 341 : step=89  reward=-38.0 aveQ=-18.43  loss=1.58
episode 342 : step=68  reward=-33.0 aveQ=-19.27  loss=1.68
episode 343 : step=42  reward=-18.0 aveQ=-11.61  loss=1.83
episode 344 : step=68  reward=-35.0 aveQ=-17.71  loss=1.73
episode 345 : step=68  reward=-34.0 aveQ=-20.26  loss=1.66
episode 346 : step=89  reward=-38.0 aveQ=-21.08  loss=1.92
episode 347 : step=42  reward=-17.0 aveQ=-11.50  loss=1.75
episode 348 : step=42  reward=-19.0 aveQ=-12.41  loss=1.92
episode 349 : step=68  reward=-26.0 aveQ=-21.17  loss=1.97
episode 350 : step=68  reward=-47.0 aveQ=-20.15  loss=2.50
episode 351 : step=42  reward=-16.0 aveQ=-13.46  loss=2.03
episode 352 : step=110 reward=-50.0 aveQ=-29.91  loss=1.69
episode 353 : step=42  reward=-19.0 aveQ=-12.74  loss=1.88
episode 354 : step=110 reward=-54.0 aveQ=-29.56  loss=1.66
episode 355 : step=68  reward=-36.0 aveQ=-20.49  loss=1.67
episode 356 : step=72  reward=-32.0 aveQ=-18.21  loss=1.75
episode 357 : step=55  reward=-42.0 aveQ=-17.85  loss=1.68
episode 358 : step=72  reward=-30.0 aveQ=-20.03  loss=1.57
episode 359 : step=68  reward=-28.0 aveQ=-17.22  loss=1.45
episode 360 : step=89  reward=-56.0 aveQ=-27.58  loss=1.67
episode 361 : step=72  reward=-29.0 aveQ=-15.67  loss=1.66
episode 362 : step=55  reward=-21.0 aveQ=-11.72  loss=1.57
episode 363 : step=72  reward=-33.0 aveQ=-18.95  loss=1.74
episode 364 : step=89  reward=-38.0 aveQ=-25.85  loss=1.77
episode 365 : step=55  reward=-21.0 aveQ=-14.75  loss=1.56
episode 366 : step=110 reward=-38.0 aveQ=-26.46  loss=1.57
episode 367 : step=42  reward=-26.0 aveQ=-13.18  loss=1.53
